#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id_board
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:30:09Z,32.99,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:32:13Z,32.99,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:34:17Z,33.06,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:36:21Z,33.09,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:38:26Z,32.86,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:40:30Z,32.73,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:42:34Z,32.73,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:44:39Z,32.93,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:46:43Z,32.85,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:48:47Z,32.89,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:50:52Z,32.86,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:52:56Z,32.82,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:55:00Z,32.88,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:57:05Z,32.89,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T16:59:09Z,32.75,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:01:13Z,32.53,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:03:18Z,32.67,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:05:22Z,32.64,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:07:26Z,32.66,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:09:31Z,32.62,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:11:35Z,32.41,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:13:39Z,32.59,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:15:44Z,32.69,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:17:48Z,32.57,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:19:52Z,32.71,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:21:57Z,32.93,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:24:01Z,32.84,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:26:05Z,32.78,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:28:10Z,32.84,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:30:14Z,32.98,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:32:18Z,33.05,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:34:23Z,32.9,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:36:27Z,33,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:38:31Z,32.94,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:40:36Z,32.94,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:42:40Z,32.95,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:44:44Z,32.95,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:46:49Z,32.87,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:52:20Z,33.01,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:52:24Z,33.03,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:54:28Z,33.01,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T17:56:32Z,33.15,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:33:33Z,31.19,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:35:33Z,31.28,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:37:33Z,31.27,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:39:33Z,31.4,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:41:33Z,31.46,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:43:33Z,31.54,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:45:33Z,31.55,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:47:33Z,31.76,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:49:33Z,31.54,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:51:33Z,31.59,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:53:33Z,31.56,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:55:33Z,31.57,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:57:33Z,31.64,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T22:59:33Z,31.59,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:01:33Z,31.6,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:03:33Z,31.57,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:05:33Z,31.6,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:07:33Z,31.58,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:09:33Z,31.56,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:11:33Z,31.51,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:13:33Z,31.46,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:15:33Z,31.53,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:17:33Z,31.47,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:19:33Z,31.45,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:21:37Z,31.5,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:23:42Z,31.46,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:25:46Z,31.52,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:27:50Z,31.54,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:29:54Z,31.52,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:31:59Z,31.58,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:34:03Z,31.45,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:36:07Z,31.42,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:38:12Z,31.4,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:40:16Z,31.43,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:42:20Z,31.31,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:44:24Z,31.27,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:46:29Z,31.14,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:48:33Z,31.05,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:50:37Z,31.1,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:52:42Z,31.08,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:54:46Z,30.96,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:56:50Z,31.02,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-18T23:58:55Z,31.08,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:00:59Z,31.07,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:03:03Z,30.97,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:05:07Z,30.95,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:07:12Z,30.84,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:09:16Z,30.68,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:11:20Z,30.74,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:13:25Z,30.67,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:15:29Z,30.85,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:17:33Z,30.98,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:19:38Z,30.86,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:21:42Z,30.92,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:23:46Z,30.81,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:25:50Z,30.83,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:27:55Z,30.81,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:29:59Z,30.92,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:32:03Z,30.96,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:34:08Z,31,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:36:12Z,30.95,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:38:16Z,30.93,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:40:20Z,31.01,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:42:25Z,30.9,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:44:29Z,30.89,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:46:33Z,31.02,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:48:38Z,30.97,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:50:42Z,30.95,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:52:46Z,30.88,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:54:50Z,30.9,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:56:55Z,30.77,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T00:58:59Z,30.86,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T01:01:03Z,30.8,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T01:03:08Z,30.9,air_temp,sensor_measurements,3750866944
,,0,1970-01-01T00:00:00Z,2026-06-20T07:49:01.015015312Z,2026-06-19T01:05:12Z,31.12,air_temp,sensor_measurements,3750866944
