#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id_board
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:30:09Z,100938.14,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:32:13Z,100934.92,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:34:17Z,100932.25,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:36:21Z,100928.78,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:38:26Z,100932.2,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:40:30Z,100935.12,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:42:34Z,100935.12,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:44:39Z,100936.5,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:46:43Z,100931.39,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:48:47Z,100932.75,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:50:52Z,100930.58,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:52:56Z,100927.64,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:55:00Z,100928.46,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:57:05Z,100928.98,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T16:59:09Z,100922.55,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:01:13Z,100923.01,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:03:18Z,100926.81,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:05:22Z,100920.38,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:07:26Z,100914.49,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:09:31Z,100913.66,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T17:11:35Z,100912.77,pressure,sensor_measurements,3750866944
